gameID,ID,winner_name,runnerUp_name,winner_ID,runnerUp_ID,game_HS_Month,game_EB_Month,game_HS_Year,game_EB_Year,game_HS_Day,game_EB_Day,game_Season,game_Element,game_kin_tone,game_kin_seal,game_guide_seal,game_guide_tone,game_analogue_seal,game_analogue_tone,game_antipode_seal,game_antipode_tone,game_occult_seal,game_occult_tone,game_tribe,game_sun,winner_HS_Month,winner_EB_Month,winner_HS_Year,winner_EB_Year,winner_HS_Day,winner_EB_Day,winner_Season,winner_Element,winner_kin_tone,winner_kin_seal,winner_guide_seal,winner_guide_tone,winner_analogue_seal,winner_analogue_tone,winner_antipode_seal,winner_antipode_tone,winner_occult_seal,winner_occult_tone,winner_tribe,winner_sun,runner_up_HS_Month,runner_up_EB_Month,runner_up_HS_Year,runner_up_EB_Year,runner_up_Season,runner_up_EB_Day,runner_up_Element,runner_up_kin_tone,runner_up_kin_seal,runner_up_guide_seal,runner_up_guide_tone,runner_up_analogue_seal,runner_up_analogue_tone,runner_up_antipode_seal,runner_up_antipode_tone,runner_up_occult_seal,runner_up_occult_tone,runner_up_tribe,runner_up_sun
"1980-05-26-Roland Garros-Bjorn Borg-Vitas Gerulaitis",44,"Bjorn Borg","Vitas Gerulaitis",152,127,"yin metal","yin fire","yang metal","yang metal","yin earth","yin water","Early Summer",metal,overtone,mirror,worldBridge,overtone,dragon,overtone,star,overtone,night,solar,red,"Gem 05 22 34","yang wood","yang fire","yang fire","yang metal","yang wood","yang earth","Mid Summer",fire,overtone,moon,earth,overtone,dog,overtone,storm,overtone,human,solar,white,"Gem 15 44 02","yin metal","yin earth","yang wood","yang fire","yin water","yin earth","Late Summer",moon,magnetic,dog,magnetic,storm,magnetic,storm,magnetic,human,cosmic,white,"Leo 02 57 21"
"1981-05-25-Roland Garros-Bjorn Borg-Ivan Lendl",43,"Bjorn Borg","Ivan Lendl",152,200,"yin water","yin fire","yin metal","yin metal","yin water","yin wood","Early Summer",metal,overtone,wind,dog,overtone,earth,overtone,human,overtone,storm,solar,red,"Gem 04 10 40","yang wood","yang fire","yang fire","yang metal","yang wood","yang earth","Mid Summer",fire,overtone,moon,earth,overtone,dog,overtone,storm,overtone,human,solar,white,"Gem 15 44 02","yin earth","yin wood","yang metal","yang water","yang wood","yang fire","Mid Spring",wizard,solar,dragon,solar,star,solar,star,solar,night,overtone,red,"Pis 16 56 04"
"1982-05-24-Roland Garros-Mats Wilander-Guillermo Vilas",42,"Mats Wilander","Guillermo Vilas",259,111,"yin wood","yin fire","yang water","yang earth","yin fire","yin earth","Early Summer",earth,overtone,worldBridger,wizard,overtone,skyWalker,overtone,warrior,overtone,eagle,solar,red,"Gem 02 59 26","yang water","yang metal","yang wood","yang earth","yin water","yin wood","Early Autumn",wood,crystal,worldBridger,mirror,crystal,skyWalker,crystal,warrior,crystal,eagle,lunar,red,"Leo 29 24 14","yang earth","yang metal","yang water","yang earth","yin wood","yin earth","Early Autumn",snake,galactic,mirror,galactic,monkey,galactic,monkey,galactic,sun,rhythmic,white,"Leo 24 29 59"
"1983-05-23-Roland Garros-Yannick Noah-Mats Wilander",41,"Yannick Noah","Mats Wilander",202,259,"yin fire","yin fire","yin water","yin water","yin metal","yin water","Early Summer",water,overtone,dog,mirror,overtone,moon,overtone,sun,overtone,monkey,solar,red,"Gem 01 47 54","yin metal","yin fire","yang metal","yang water","yang fire","yang fire","Early Summer",fire,electric,dog,wizard,electric,moon,electric,sun,electric,monkey,spectral,red,"Tau 27 31 54","yang water","yang metal","yang wood","yang earth","yin water","yin wood","Early Autumn",mirror,crystal,skyWalker,crystal,warrior,crystal,warrior,crystal,eagle,lunar,red,"Leo 29 24 14"
"1984-05-28-Roland Garros-Ivan Lendl-John McEnroe",40,"Ivan Lendl","John McEnroe",200,185,"yin earth","yin fire","yang wood","yang water","yang water","yang earth","Early Summer",neutral,spectral,sun,sun,spectral,storm,spectral,dog,spectral,dragon,electric,blue,"Gem 07 19 36","yin earth","yin wood","yang metal","yang water","yang wood","yang fire","Mid Spring",wood,solar,mirror,wizard,solar,dragon,solar,star,solar,night,overtone,red,"Pis 16 56 04","yang fire","yang wood","yin earth","yin water","yin earth","yin fire","Early Spring",worldBridge,lunar,snake,lunar,seed,lunar,seed,lunar,hand,crystal,red,"Aqu 27 04 24"
"1985-05-27-Roland Garros-Mats Wilander-Ivan Lendl",39,"Mats Wilander","Ivan Lendl",259,200,"yin metal","yin fire","yin wood","yin earth","yang fire","yang wood","Early Summer",neutral,spectral,seed,seed,spectral,eagle,spectral,wizard,spectral,earth,electric,blue,"Gem 06 08 17","yang water","yang metal","yang wood","yang earth","yin water","yin wood","Early Autumn",wood,crystal,worldBridger,mirror,crystal,skyWalker,crystal,warrior,crystal,eagle,lunar,red,"Leo 29 24 14","yin earth","yin wood","yang metal","yang water","yang wood","yang fire","Mid Spring",wizard,solar,dragon,solar,star,solar,star,solar,night,overtone,red,"Pis 16 56 04"
"1986-05-26-Roland Garros-Ivan Lendl-Mikael Pernfors",38,"Ivan Lendl","Mikael Pernfors",200,239,"yin water","yin fire","yang fire","yang wood","yang metal","yang fire","Early Summer",fire,spectral,star,star,spectral,monkey,spectral,mirror,spectral,skyWalker,electric,blue,"Gem 04 56 42","yin earth","yin wood","yang metal","yang water","yang wood","yang fire","Mid Spring",wood,solar,mirror,wizard,solar,dragon,solar,star,solar,night,overtone,red,"Pis 16 56 04","yin earth","yin earth","yin water","yin wood","yang metal","yang metal","Late Summer",star,cosmic,eagle,cosmic,wizard,cosmic,wizard,cosmic,earth,magnetic,blue,"Can 23 14 17"
"1987-05-25-Roland Garros-Ivan Lendl-Mats Wilander",37,"Ivan Lendl","Mats Wilander",200,259,"yin wood","yin fire","yin fire","yin wood","yang wood","yang earth","Early Summer",wood,spectral,human,human,spectral,hand,spectral,wind,spectral,moon,electric,blue,"Gem 03 45 33","yin earth","yin wood","yang metal","yang water","yang wood","yang fire","Mid Spring",wood,solar,mirror,wizard,solar,dragon,solar,star,solar,night,overtone,red,"Pis 16 56 04","yang water","yang metal","yang wood","yang earth","yin water","yin wood","Early Autumn",mirror,crystal,skyWalker,crystal,warrior,crystal,warrior,crystal,eagle,lunar,red,"Leo 29 24 14"
"1988-05-23-Roland Garros-Mats Wilander-Henri Leconte",36,"Mats Wilander","Henri Leconte",259,237,"yin fire","yin fire","yang earth","yang earth","yang earth","yang wood","Early Summer",earth,planetary,eagle,night,planetary,seed,planetary,snake,planetary,worldBridge,selfexistin,yellow,"Gem 02 33 60","yang water","yang metal","yang wood","yang earth","yin water","yin wood","Early Autumn",wood,crystal,worldBridger,mirror,crystal,skyWalker,crystal,warrior,crystal,eagle,lunar,red,"Leo 29 24 14","yang earth","yang fire","yin water","yin wood","yang earth","yang metal","Mid Summer",human,magnetic,hand,magnetic,wind,magnetic,wind,magnetic,moon,cosmic,blue,"Can 11 47 55"
"1989-05-29-Roland Garros-Michael Chang-Stefan Edberg",35,"Michael Chang","Stefan Edberg",382,284,"yin earth","yin fire","yin earth","yin fire","yin earth","yin earth","Early Summer",earth,selfexisting,worldBridger,wind,selfexistin,skyWalker,selfexistin,warrior,selfexistin,eagle,planetary,red,"Gem 08 05 15","yang water","yang wood","yang water","yang water","yin water","yin earth","Early Spring",water,galactic,snake,moon,galactic,wizard,galactic,eagle,galactic,warrior,rhythmic,white,"Pis 02 58 26","yin earth","yin earth","yin wood","yin fire","yang earth","yang wood","Late Winter",skyWalker,resonant,mirror,resonant,monkey,resonant,monkey,resonant,sun,resonant,white,"Cap 28 58 05"
"1990-05-28-Roland Garros-Andres Gomez-Andre Agassi",34,"Andres Gomez","Andre Agassi",198,355,"yin metal","yin fire","yang metal","yang fire","yin water","yin fire","Early Summer",fire,selfexisting,dog,worldBridge,selfexistin,moon,selfexistin,sun,selfexistin,monkey,planetary,red,"Gem 06 54 13","yang earth","yang wood","yang metal","yang water","yin wood","yin metal","Early Spring",neutral,magnetic,dog,dog,magnetic,moon,magnetic,sun,magnetic,monkey,cosmic,red,"Pis 07 54 38","yang metal","yang earth","yang metal","yang earth","yin earth","yin wood","Late Spring",skyWalker,resonant,mirror,resonant,monkey,resonant,monkey,resonant,sun,resonant,white,"Tau 08 45 07"
"1991-05-27-Roland Garros-Jim Courier-Andre Agassi",33,"Jim Courier","Andre Agassi",362,355,"yin water","yin fire","yin metal","yin earth","yin fire","yin metal","Early Summer",neutral,selfexisting,wizard,dog,selfexistin,snake,selfexistin,seed,selfexistin,hand,planetary,red,"Gem 05 42 40","yang wood","yang metal","yang metal","yang earth","yin earth","yin fire","Early Autumn",neutral,cosmic,monkey,eagle,cosmic,star,cosmic,dragon,cosmic,dog,magnetic,yellow,"Leo 24 09 44","yang metal","yang earth","yang metal","yang earth","yin earth","yin wood","Late Spring",skyWalker,resonant,mirror,resonant,monkey,resonant,monkey,resonant,sun,resonant,white,"Tau 08 45 07"
"1992-05-25-Roland Garros-Jim Courier-Petr Korda",32,"Jim Courier","Petr Korda",362,316,"yin wood","yin fire","yang water","yang metal","yin metal","yin earth","Early Summer",metal,electric,earth,dragon,electric,wind,electric,hand,electric,seed,spectral,white,"Gem 04 31 00","yang wood","yang metal","yang metal","yang earth","yin earth","yin fire","Early Autumn",neutral,cosmic,monkey,eagle,cosmic,star,cosmic,dragon,cosmic,dog,magnetic,yellow,"Leo 24 09 44","yin water","yin earth","yin fire","yin earth","yang water","yang earth","Late Winter",storm,cosmic,seed,cosmic,snake,cosmic,snake,cosmic,worldBridge,magnetic,yellow,"Aqu 02 32 52"
"1993-05-24-Roland Garros-Sergi Bruguera-Jim Courier",31,"Sergi Bruguera","Jim Courier",367,362,"yin fire","yin fire","yin water","yin metal","yin wood","yin fire","Early Summer",fire,electric,dragon,snake,electric,mirror,electric,monkey,electric,sun,spectral,white,"Gem 03 19 30","yin earth","yin earth","yang metal","yang earth","yin metal","yin earth","Late Winter",earth,solar,night,storm,solar,warrior,solar,skyWalker,solar,mirror,overtone,yellow,"Cap 25 42 24","yang wood","yang metal","yang metal","yang earth","yin earth","yin fire","Early Autumn",eagle,cosmic,star,cosmic,dragon,cosmic,dragon,cosmic,dog,magnetic,yellow,"Leo 24 09 44"
"1994-05-23-Roland Garros-Sergi Bruguera-Alberto Berasategui",30,"Sergi Bruguera","Alberto Berasategui",367,402,"yin earth","yin fire","yang wood","yang earth","yin earth","yin metal","Early Summer",earth,electric,snake,moon,electric,wizard,electric,eagle,electric,warrior,spectral,white,"Gem 02 07 50","yin earth","yin earth","yang metal","yang earth","yin metal","yin earth","Late Winter",earth,solar,night,storm,solar,warrior,solar,skyWalker,solar,mirror,overtone,yellow,"Cap 25 42 24","yang earth","yang fire","yin water","yin earth","yin wood","yin earth","Mid Summer",seed,overtone,night,overtone,worldBridge,overtone,worldBridge,overtone,snake,solar,blue,"Can 06 38 14"
"1995-05-29-Roland Garros-Thomas Muster-Michael Chang",29,"Thomas Muster","Michael Chang",310,382,"yin metal","yin fire","yin wood","yin water","yang metal","yang metal","Early Summer",metal,planetary,warrior,seed,planetary,night,planetary,worldBridge,planetary,snake,selfexistin,blue,"Gem 07 39 50","yin earth","yin metal","yin fire","yin earth","yin earth","yin water","Mid Autumn",earth,selfexisting,wind,mirror,selfexistin,earth,selfexistin,human,selfexistin,storm,planetary,red,"Lib 08 36 13","yang water","yang wood","yang water","yang water","yin water","yin earth","Early Spring",moon,galactic,wizard,galactic,eagle,galactic,eagle,galactic,warrior,rhythmic,white,"Pis 02 58 26"
"1996-05-27-Roland Garros-Yevgeny Kafelnikov-Michael Stich",28,"Yevgeny Kafelnikov","Michael Stich",409,330,"yin water","yin fire","yang fire","yang water","yang wood","yang water","Early Summer",water,solar,storm,eagle,solar,sun,solar,moon,solar,wind,overtone,yellow,"Gem 06 28 14","yang fire","yang wood","yang wood","yang wood","yang metal","yang wood","Early Spring",wood,rhythmic,monkey,monkey,rhythmic,star,rhythmic,dragon,rhythmic,dog,galactic,yellow,"Aqu 29 27 16","yang water","yang earth","yang earth","yang metal","yin metal","yin metal","Late Autumn",hand,galactic,warrior,galactic,skyWalker,galactic,skyWalker,galactic,mirror,rhythmic,yellow,"Lib 25 10 11"
"1997-05-26-Roland Garros-Gustavo Kuerten-Sergi Bruguera",27,"Gustavo Kuerten","Sergi Bruguera",443,367,"yin wood","yin fire","yin fire","yin earth","yang earth","yang earth","Early Summer",earth,solar,night,storm,solar,warrior,solar,skyWalker,solar,mirror,overtone,yellow,"Gem 05 16 19","yin fire","yin metal","yang fire","yang earth","yin wood","yin earth","Mid Autumn",earth,selfexisting,snake,dragon,selfexistin,wizard,selfexistin,eagle,selfexistin,warrior,planetary,white,"Vir 17 53 40","yin earth","yin earth","yang metal","yang earth","yin metal","yin earth","Late Winter",storm,solar,warrior,solar,skyWalker,solar,skyWalker,solar,mirror,overtone,yellow,"Cap 25 42 24"
"1998-05-25-Roland Garros-Carlos Moya-Alex Corretja",26,"Carlos Moya","Alex Corretja",441,413,"yin fire","yin fire","yang earth","yang wood","yang water","yang metal","Early Summer",fire,solar,hand,night,solar,human,solar,earth,solar,wizard,overtone,yellow,"Gem 04 05 00","yang fire","yang metal","yang fire","yang earth","yin metal","yin water","Early Autumn",metal,electric,monkey,eagle,electric,star,electric,dragon,electric,dog,spectral,yellow,"Vir 04 19 51","yang earth","yang earth","yang wood","yang wood","yang water","yang fire","Late Spring",night,rhythmic,warrior,rhythmic,skyWalker,rhythmic,skyWalker,rhythmic,mirror,galactic,yellow,"Ari 21 13 10"
"1999-05-24-Roland Garros-Andre Agassi-Andrei Medvedev",25,"Andre Agassi","Andrei Medvedev",355,417,"yin earth","yin fire","yin earth","yin wood","yang fire","yang water","Early Summer",fire,solar,monkey,hand,solar,star,solar,dragon,solar,dog,overtone,yellow,"Gem 02 53 23","yang metal","yang earth","yang metal","yang earth","yin earth","yin wood","Late Spring",earth,resonant,dragon,skyWalker,resonant,mirror,resonant,monkey,resonant,sun,resonant,white,"Tau 08 45 07","yang water","yang metal","yang wood","yang wood","yang wood","yang earth","Early Autumn",skyWalker,overtone,wizard,overtone,eagle,overtone,eagle,overtone,warrior,solar,white,"Vir 07 42 15"
"2000-05-29-Roland Garros-Gustavo Kuerten-Magnus Norman",24,"Gustavo Kuerten","Magnus Norman",443,439,"yin metal","yin fire","yang metal","yang earth","yin fire","yin water","Early Summer",fire,lunar,dragon,skyWalker,lunar,mirror,lunar,monkey,lunar,sun,crystal,white,"Gem 08 24 41","yin fire","yin metal","yang fire","yang earth","yin wood","yin earth","Mid Autumn",earth,selfexisting,snake,dragon,selfexistin,wizard,selfexistin,eagle,selfexistin,warrior,planetary,white,"Vir 17 53 40","yin water","yin fire","yang fire","yang earth","yang water","yang fire","Early Summer",dog,overtone,earth,overtone,human,overtone,human,overtone,storm,solar,red,"Gem 09 11 27"
"2001-05-28-Roland Garros-Gustavo Kuerten-Alex Corretja",23,"Gustavo Kuerten","Alex Corretja",443,413,"yin water","yin fire","yin metal","yin fire","yin metal","yin wood","Early Summer",fire,lunar,snake,earth,lunar,wizard,lunar,eagle,lunar,warrior,crystal,white,"Gem 07 13 09","yin fire","yin metal","yang fire","yang earth","yin wood","yin earth","Mid Autumn",earth,selfexisting,snake,dragon,selfexistin,wizard,selfexistin,eagle,selfexistin,warrior,planetary,white,"Vir 17 53 40","yang earth","yang earth","yang wood","yang wood","yang water","yang fire","Late Spring",night,rhythmic,warrior,rhythmic,skyWalker,rhythmic,skyWalker,rhythmic,mirror,galactic,yellow,"Ari 21 13 10"
"2002-05-27-Roland Garros-Albert Costa-Juan Carlos Ferrero",22,"Albert Costa","Juan Carlos Ferrero",429,485,"yin wood","yin fire","yang water","yang fire","yin wood","yin earth","Early Summer",fire,lunar,moon,dragon,lunar,dog,lunar,storm,lunar,human,crystal,white,"Gem 06 01 30","yang water","yang fire","yin wood","yin wood","yang water","yang wood","Mid Summer",wood,selfexisting,night,storm,selfexistin,warrior,selfexistin,skyWalker,selfexistin,mirror,planetary,yellow,"Can 03 19 13","yang earth","yang wood","yang metal","yang metal","yin wood","yin wood","Early Spring",eagle,rhythmic,seed,rhythmic,snake,rhythmic,snake,rhythmic,worldBridge,galactic,yellow,"Aqu 22 55 35"
"2003-05-26-Roland Garros-Juan Carlos Ferrero-Martin Verkerk",21,"Juan Carlos Ferrero","Martin Verkerk",485,469,"yin fire","yin fire","yin water","yin earth","yin earth","yin water","Early Summer",neutral,lunar,skyWalker,snake,lunar,worldBridge,lunar,night,lunar,star,crystal,white,"Gem 04 50 16","yang earth","yang wood","yang metal","yang metal","yin wood","yin wood","Early Spring",wood,rhythmic,eagle,eagle,rhythmic,seed,rhythmic,snake,rhythmic,worldBridge,galactic,yellow,"Aqu 22 55 35","yang water","yang earth","yang earth","yang fire","yang fire","yang wood","Late Autumn",wizard,overtone,skyWalker,overtone,warrior,overtone,warrior,overtone,eagle,solar,red,"Sco 07 42 37"
"2004-05-24-Roland Garros-Gaston Gaudio-Guillermo Coria",20,"Gaston Gaudio","Guillermo Coria",471,515,"yin earth","yin fire","yang wood","yang metal","yin water","yin wood","Early Summer",wood,magnetic,warrior,warrior,magnetic,night,magnetic,worldBridge,magnetic,snake,cosmic,blue,"Gem 03 38 49","yang wood","yang water","yang earth","yang fire","yin wood","yin fire","Mid Winter",fire,overtone,snake,skyWalker,overtone,wizard,overtone,eagle,overtone,warrior,solar,white,"Sag 17 03 34","yin metal","yin earth","yin metal","yin metal","yang fire","yang metal","Late Winter",monkey,selfexistin,seed,selfexistin,snake,selfexistin,snake,selfexistin,worldBridge,planetary,yellow,"Cap 22 58 41"
"2005-05-23-Roland Garros-Rafael Nadal-Mariano Puerta",19,"Rafael Nadal","Mariano Puerta",558,468,"yin metal","yin fire","yin wood","yin metal","yin fire","yin earth","Early Summer",neutral,magnetic,sun,sun,magnetic,storm,magnetic,dog,magnetic,dragon,cosmic,blue,"Gem 02 27 06","yin water","yin fire","yang fire","yang wood","yang earth","yang wood","Early Summer",wood,rhythmic,warrior,warrior,rhythmic,night,rhythmic,worldBridge,rhythmic,snake,galactic,blue,"Gem 12 36 58","yin metal","yin metal","yang earth","yang fire","yang wood","yang metal","Mid Autumn",warrior,lunar,eagle,lunar,wizard,lunar,wizard,lunar,earth,crystal,blue,"Vir 26 11 40"
